ID,RegioS,Perioden,Totaal_2,Reactietijd0Tot15Minuten_3,Reactietijd15Tot30Minuten_4,Reactietijd30Tot45Minuten_5,Reactietijd45Tot60Minuten_6,Reactietijd60Tot120Minuten_7,ReactietijdMeerDan120Minuten_8
1446,GM0362,2017JJ00,1528,1255,207,37,14,12,3
1459,GM0362,2018JJ00,1454,1211,191,28,11,12,1
1472,GM0362,2019JJ00,1490,1278,171,21,12,7,1
1485,GM0362,2020JJ00,1401,1179,171,29,11,9,2
1508,GM0363,2015JJ00,30106,26290,2592,587,232,298,107
1521,GM0363,2016JJ00,28504,24333,2798,648,298,322,104
1534,GM0363,2017JJ00,28699,24290,2931,679,302,355,142
1547,GM0363,2018JJ00,28274,24306,2765,588,259,276,79
1560,GM0363,2019JJ00,26801,23053,2672,541,234,224,76
1573,GM0363,2020JJ00,25118,21701,2437,524,190,199,67
1596,GM0200,2015JJ00,1974,1719,205,30,10,8,1
1609,GM0200,2016JJ00,2400,2046,278,39,16,16,5
1622,GM0200,2017JJ00,2475,2086,290,58,14,15,12
1635,GM0200,2018JJ00,2288,1957,250,49,19,8,5
1648,GM0200,2019JJ00,2086,1779,221,57,17,12,0
1661,GM0200,2020JJ00,2104,1759,272,43,15,14,1
1684,GM0003,2015JJ00,188,153,27,4,2,2,0
1697,GM0003,2016JJ00,215,181,27,1,3,2,1
1710,GM0003,2017JJ00,156,134,19,2,1,0,0
1723,GM0003,2018JJ00,175,152,19,2,1,1,0
1736,GM0003,2019JJ00,176,147,24,3,1,1,0
1749,GM0003,2020JJ00,159,140,15,2,1,0,1
1772,GM0202,2015JJ00,3765,3304,331,76,17,28,9
1785,GM0202,2016JJ00,4065,3517,406,69,37,24,12
1798,GM0202,2017JJ00,4226,3672,401,68,32,39,14
1811,GM0202,2018JJ00,4695,4153,388,82,28,31,13
1824,GM0202,2019JJ00,3975,3499,344,74,23,25,8
1837,GM0202,2020JJ00,4125,3656,332,63,31,34,9
1860,GM0106,2015JJ00,1298,1109,133,27,14,12,3
1873,GM0106,2016JJ00,1408,1228,126,24,16,11,3
1886,GM0106,2017JJ00,1190,1063,91,17,9,9,1
1899,GM0106,2018JJ00,1024,888,89,27,11,9,0
1912,GM0106,2019JJ00,1097,966,94,16,14,4,3
1925,GM0106,2020JJ00,1000,886,80,17,10,6,1
1948,GM0743,2015JJ00,254,203,44,3,0,4,0
1961,GM0743,2016JJ00,253,200,39,4,5,5,0
1974,GM0743,2017JJ00,293,233,46,6,4,4,0
1987,GM0743,2018JJ00,308,251,45,5,4,3,0
2000,GM0743,2019JJ00,284,221,48,12,0,1,2
2013,GM0743,2020JJ00,278,234,33,8,2,1,0
2036,GM0744,2015JJ00,82,36,39,6,1,0,0
2049,GM0744,2016JJ00,69,32,33,2,0,1,1
2062,GM0744,2017JJ00,57,30,23,3,1,0,0
2075,GM0744,2018JJ00,81,49,28,3,0,0,1
2088,GM0744,2019JJ00,102,57,39,6,0,0,0
2101,GM0744,2020JJ00,89,37,49,2,0,1,0
2124,GM0308,2015JJ00,333,307,16,3,5,1,1
2137,GM0308,2016JJ00,469,440,23,3,1,2,0
2150,GM0308,2017JJ00,519,488,24,3,2,2,0
2163,GM0308,2018JJ00,453,421,27,2,2,1,0
2176,GM0308,2019JJ00,396,362,18,8,4,3,1
2189,GM0308,2020JJ00,385,363,18,3,1,0,0
2212,GM0489,2015JJ00,1544,1210,259,39,13,12,11
2225,GM0489,2016JJ00,1256,949,235,48,10,10,4
2238,GM0489,2017JJ00,858,633,163,27,7,20,8
2251,GM0489,2018JJ00,697,546,114,23,8,3,3
2264,GM0489,2019JJ00,782,593,144,25,12,5,3
2277,GM0489,2020JJ00,789,623,121,25,7,9,4
2300,GM0203,2015JJ00,894,733,133,15,5,6,2
2313,GM0203,2016JJ00,933,748,141,19,8,13,4
2326,GM0203,2017JJ00,1028,846,142,20,7,10,3
2339,GM0203,2018JJ00,1090,891,160,20,11,7,1
2352,GM0203,2019JJ00,858,713,120,11,5,7,2
2365,GM0203,2020JJ00,892,690,156,23,12,7,4
2388,GM0005,2015JJ00,95,60,31,2,1,1,0
2401,GM0005,2016JJ00,110,78,25,4,1,2,0
2414,GM0005,2017JJ00,81,65,12,3,1,0,0
2427,GM0005,2018JJ00,67,46,19,2,0,0,0
2440,GM0005,2019JJ00,0,0,0,0,0,0,0
2453,GM0005,2020JJ00,0,0,0,0,0,0,0
2476,GM0888,2015JJ00,180,123,49,7,1,0,0
2489,GM0888,2016JJ00,210,162,44,1,2,1,0
2502,GM0888,2017JJ00,218,166,42,6,2,1,1
2515,GM0888,2018JJ00,273,216,54,1,1,1,0
2528,GM0888,2019JJ00,269,226,41,1,0,0,1
2541,GM0888,2020JJ00,232,202,24,2,2,2,0
2564,GM1954,2015JJ00,0,0,0,0,0,0,0
2577,GM1954,2016JJ00,0,0,0,0,0,0,0
2590,GM1954,2017JJ00,0,0,0,0,0,0,0
2603,GM1954,2018JJ00,0,0,0,0,0,0,0
2616,GM1954,2019JJ00,370,310,46,8,3,2,1
2629,GM1954,2020JJ00,391,344,40,4,1,1,1
2652,GM0370,2015JJ00,117,96,14,3,2,2,0
2665,GM0370,2016JJ00,283,234,38,7,0,4,0
2678,GM0370,2017JJ00,298,244,42,11,0,1,0
2691,GM0370,2018JJ00,314,271,32,8,1,2,0
2704,GM0370,2019JJ00,226,179,38,6,2,1,0
2717,GM0370,2020JJ00,173,136,29,4,1,3,0
2740,GM0889,2015JJ00,120,84,32,3,1,0,0
2753,GM0889,2016JJ00,105,69,29,5,0,1,1
2766,GM0889,2017JJ00,112,60,42,4,3,2,1
2779,GM0889,2018JJ00,124,92,30,1,0,1,0
2792,GM0889,2019JJ00,143,100,39,4,0,0,0
2805,GM0889,2020JJ00,135,88,40,3,2,2,0
2828,GM0007,2015JJ00,113,76,23,9,2,2,1
2841,GM0007,2016JJ00,83,61,16,5,1,0,0
2854,GM0007,2017JJ00,78,55,15,5,2,1,0
2867,GM0007,2018JJ00,0,0,0,0,0,0,0
2880,GM0007,2019JJ00,0,0,0,0,0,0,0
2893,GM0007,2020JJ00,0,0,0,0,0,0,0
2916,GM1945,2015JJ00,414,304,88,8,7,4,3
2929,GM1945,2016JJ00,437,325,97,9,3,2,1
2942,GM1945,2017JJ00,530,392,118,15,1,3,1
2955,GM1945,2018JJ00,514,358,121,22,5,7,1
2968,GM1945,2019JJ00,386,286,79,11,3,7,0
2981,GM1945,2020JJ00,398,299,89,5,3,2,0
3004,GM1724,2015JJ00,205,141,48,9,3,4,0
3017,GM1724,2016JJ00,222,131,79,7,4,0,1
3030,GM1724,2017JJ00,210,139,57,9,3,2,0
3043,GM1724,2018JJ00,252,166,70,13,3,0,0
3056,GM1724,2019JJ00,217,143,58,8,6,2,0
3069,GM1724,2020JJ00,226,136,76,11,2,0,1
3092,GM0893,2015JJ00,108,81,23,3,0,1,0
3105,GM0893,2016JJ00,103,77,23,2,1,0,0
3118,GM0893,2017JJ00,132,85,43,3,1,0,0
3131,GM0893,2018JJ00,159,104,49,4,1,1,0
3144,GM0893,2019JJ00,151,106,39,4,0,2,0
3157,GM0893,2020JJ00,151,106,41,1,0,3,0
3180,GM0373,2015JJ00,364,291,63,9,0,1,0
